,Unnamed: 0,arg0,arg1,v
627,627, Some patients with cyclothymia, bipolar affective disorder, develop
628,628, by feelings of sadness, An emotional state, characterized
637,637, you, you may have it, think
640,640, effective treatments, symptoms, control
642,642, the brain," unusual shifts in mood , energy , activity levels and the ability to carry out day - to - day tasks", causes
644,644, by severe mood swings ( manic or major depressive episodes ) and a tendency to remission and, A major affective disorder, marked
645,645, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
647,647, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
656,656, Some people, seasonal affective disorder, get
659,659," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
662,662, Depression, 15 - 25 % of cancer patients, affects
663,663, by periods of depression and hypomania, An affective disorder, characterized
670,670, Any other mood disorders, classification, justify
671,671, Most people, sad or irritable, feel
673,673, It, a person 's everyday emotional state, affects
6,6, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
9,9, by the reflexive act, A disorder, characterized
13,13, People with anorexia nervosa," to avoid eating , and eat as little as possible", try
21,21, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
25,25, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
29,29, by a loss of appetite, A disorder, characterized
30,30, by an aversion to food and the inability to eat, The lack or loss of APPETITE, accompanied
32,32, by the patient, Subjective evidence of disease, perceived
34,34, This disorder, many psychologicalfeatures, shares
38,38, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
41,41, by the reflexive act, A disorder, characterized
45,45, The, binge, eating
48,48, by recurrent episodes of binge - eating over which the individual feels a lack of control, A disorder, characterized
49,49, by body image, self - evaluation, influenced
54,54, People with anorexia nervosa," to avoid eating , and eat as little as possible", try
62,62, by recurrent episodes of binge - eating over which the individual feels a lack of control, A disorder, characterized
63,63, by body image, self - evaluation, influenced
67,67, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
74,74, by the reflexive act, A disorder, characterized
77,77, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
80,80," by a disruption in the usually integrated functions of consciousness , memory , identity , and/or perception of the environment", psychiatric disorders, characterized
82,82, thesleep disorder, a condition in itself, perceivedas
85,85, They, a number of important jobs that help you stay healthy and function at your best, doing
86,86, it, you feel tired, make
88,88, conditions, your normal sleep patterns, disturb
93,93, They, you unable to sleep and wake at the right times, make
96,96, you, The amount of sleep, need
97,97, Most adults, about 7 - 8 hours, need
98,98, What, sleep disorders, causes
102,102, The symptoms of sleep disorders, on the specific disorder, depend
105,105, The most common types of sleep studies, about your, monitor
107,107, Treatments for sleep disorders, on which disorder you have, depend
109,109, providers, that you use sleeping pills for a short period of time, recommend
114,114, A change from the patient 's baseline sleeping pattern, and/or, slept
117,117, by insomnia or hypersomnia ), disorders, characterized
119,119, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
122,122, by either hypersomnolence or insomnia, A broad category of sleep disorders, characterized
128,128, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
139,139, This," they are the symptom or side effect of some other problem , such as certain medical conditions , medicines , and other sleep disorders", means
141,141, This, that it is not caused by something else, means
144,144, It, women, affects
154,154, Your provider, ask you for details about your sleep habits, will
155,155, a physical exam, other medical problems that might cause insomnia May, rule
167,167, They, a number of important jobs that help you stay healthy and function at your best, doing
168,168, it, you feel tired, make
170,170, conditions, your normal sleep patterns, disturb
175,175, They, you unable to sleep and wake at the right times, make
178,178, you, The amount of sleep, need
179,179, Most adults, about 7 - 8 hours, need
180,180, What, sleep disorders, causes
184,184, The symptoms of sleep disorders, on the specific disorder, depend
187,187, The most common types of sleep studies, about your, monitor
189,189, Treatments for sleep disorders, on which disorder you have, depend
191,191, providers, that you use sleeping pills for a short period of time, recommend
196,196, A change from the patient 's baseline sleeping pattern, and/or, slept
199,199, by insomnia or hypersomnia ), disorders, characterized
201,201, by excessive sleepiness, A sleep disorder, characterized
202,202, by characterized by excessive sleepiness during the daytime, A disorder, characterized
204,204, by excessive sleepiness, A sleep disorder, characterized
205,205, by characterized by excessive sleepiness during the daytime, A disorder, characterized
206,206, conditions," your thinking , feeling , mood , and behavior", affect
213,213, You," answer questions about your thinking , feelings , and behaviors", will
214,214, Treatment, on which mental disorder you have and how serious it is, depends
215,215, You and your provider, work on a treatment plan just for you, will
218,218, Some people, social support and education, need
224,224, by behavioral and/or psychological abnormalities, A disorder, characterized
230,230, by excessive sleepiness, A sleep disorder, characterized
231,231, by characterized by excessive sleepiness during the daytime, A disorder, characterized
239,239, This," they are the symptom or side effect of some other problem , such as certain medical conditions , medicines , and other sleep disorders", means
241,241, This, that it is not caused by something else, means
244,244, It, women, affects
254,254, Your provider, ask you for details about your sleep habits, will
255,255, a physical exam, other medical problems that might cause insomnia May, rule
265,265, the first thirdof nocturnal, about, walks
267,267, the individual, unconsciously engage in other activities, may
268,268, by a partial arousal that occurs during stage IV of non - REM, A parasomnia, characterized
269,269, Affected individuals, semipurposeful behaviors such as ambulation, exhibit
274,274, by heterozygous mutation(s ), A condition, caused
275,275, by abrupt awakenings from sleep with a panicky scream, A sleep disorder, characterized
278,278, This condition, children and young adults, affects
285,285, by the repeated occurrence of frightening dreams which precipitate awakenings from sleep, A sleep disorder, characterized
296,296, by excessive worried thoughts that may be accompanied by restlessness, An emotional state, characterized
298,298, A person with anxiety, sweat, may
302,302," dread accompanied by restlessness , tension , tachycardia , and dyspnea unattached", A disorder, characterized
303,303, by anxious feelings or fear often accompanied by physical symptoms associated with anxiety, psychiatric disorders, characterized
307,307, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
310,310, the prospect of sexual interaction, sufficientfear or anxiety that sexual activity is avoided ( sexualaversion ) or sexual responses occur normally and orgasm isexperienced, produces
320,320, by excessive worried thoughts that may be accompanied by restlessness, An emotional state, characterized
322,322, A person with anxiety, sweat, may
326,326," dread accompanied by restlessness , tension , tachycardia , and dyspnea unattached", A disorder, characterized
327,327, by anxious feelings or fear often accompanied by physical symptoms associated with anxiety, psychiatric disorders, characterized
332,332, Some people, about sex, speaking
337,337, you, your doctor, see
349,349, Recurrent or persistent involuntary, of the outer muscles of the VAGINA, SPASM
353,353, by involuntary spasms of the pelvic floor muscles, A disorder, characterized
360,360, you, pain, felt
366,366, Treatment, on the cause and type of pain, depends
375,375, Some people," muscle cramps , especially leg cramps", get
380,380, you, contact your health care provider, should
382,382, providers, to prevent cramps, prescribe
385,385, you, leg cramps, get
395,395, the psychophysiologic changes, the sexual response cycle, characterize
396,396, 1994)Recurrent or persistent involuntary, of the outer muscles of the VAGINA, SPASM
400,400, by involuntary spasms of the pelvic floor muscles, A disorder, characterized
404,404, conditions," your thinking , feeling , mood , and behavior", affect
411,411, You," answer questions about your thinking , feelings , and behaviors", will
412,412, Treatment, on which mental disorder you have and how serious it is, depends
413,413, You and your provider, work on a treatment plan just for you, will
416,416, Some people, social support and education, need
422,422, by behavioral and/or psychological abnormalities, A disorder, characterized
428,428, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
434,434, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
437,437, A wide variety of medicaments and folk remedies, beinvolved, may
438,438, The psychological or physiological, a substance, take
2,2, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
6,6, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
10,10, The behaviors, serious problems, cause
11,11, People with personality disorders, with everyday stresses and problems, dealing
13,13, They, mild or severe, can
15,15, they, others, blame
18,18, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
19,19, The behavioral pattern, with relationships, interferes
20,20, conditions," your thinking , feeling , mood , and behavior", affect
27,27, You," answer questions about your thinking , feelings , and behaviors", will
28,28, Treatment, on which mental disorder you have and how serious it is, depends
29,29, You and your provider, work on a treatment plan just for you, will
32,32, Some people, social support and education, need
38,38, by behavioral and/or psychological abnormalities, A disorder, characterized
46,46, by an enduring pattern of behavior based on the pervasive belief that the motives of others are malevolent and that they should not be trusted, A disorder, characterized
48,48, The behaviors, serious problems, cause
49,49, People with personality disorders, with everyday stresses and problems, dealing
51,51, They, mild or severe, can
53,53, they, others, blame
56,56, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
57,57, The behavioral pattern, with relationships, interferes
58,58," by withdrawal fromaffectional , social and other contacts with preference forfantasy , solitary activities , and introspection", Personality disorder, characterized
61,61, The behaviors, serious problems, cause
62,62, People with personality disorders, with everyday stresses and problems, dealing
64,64, They, mild or severe, can
66,66, they, others, blame
69,69, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
70,70, The behavioral pattern, with relationships, interferes
71,71, by an enduring pattern of extreme social detachment and lack of involvement in interpersonal activities, A disorder, characterized
72,72, by a profound defect in the ability to form social relationships, A personality disorder, manifested
77,77, The behaviors, serious problems, cause
78,78, People with personality disorders, with everyday stresses and problems, dealing
80,80, They, mild or severe, can
82,82, they, others, blame
85,85, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
86,86, The behavioral pattern, with relationships, interferes
89,89, by a pervasive pattern of disregard for and violation of the rights of others that is manifested in childhood or early adolescence, 1994)A disorder, characterized
91,91," by frustrations , hostility , prejudices , etc", It, precipitated
95,95, Two types, bedistinguished, may
96,96, by heterozygous mutation(s ), A condition, caused
97,97, someone, the act of suicide, mimics
99,99, The behaviors, serious problems, cause
100,100, People with personality disorders, with everyday stresses and problems, dealing
102,102, They, mild or severe, can
104,104, they, others, blame
107,107, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
108,108, The behavioral pattern, with relationships, interferes
110,110, by reduced control, Behavior, characterized
112,112," by shallow and labileaffectivity , self - dramatization , theatricality , exaggeratedexpression of emotions , suggestibility , egocentricity , self - indulgence , lack of consideration for others , easily hurtfeelings , and continuous seeking for appreciation", Personality disorder, characterized
114,114, The behaviors, serious problems, cause
115,115, People with personality disorders, with everyday stresses and problems, dealing
117,117, They, mild or severe, can
119,119, they, others, blame
122,122, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
123,123, The behavioral pattern, with relationships, interferes
124,124, by an enduring pattern of excessively intense and superficial emotionality, A disorder, characterized
126,126," by feelings of doubt , perfectionism , excessive conscientiousness", Personality disorder, characterized
128,128," by an enduring pattern of inflexibility , extreme orderliness , and perfectionism which interfere with efficiency and which may manifest in many different contexts , including work and leisure activities , financial matters , and issues of morality or ethics", A disorder, characterized
130,130, The behaviors, serious problems, cause
131,131, People with personality disorders, with everyday stresses and problems, dealing
133,133, They, mild or severe, can
135,135, they, others, blame
138,138, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
139,139, The behavioral pattern, with relationships, interferes
140,140," by feelings of tension andapprehension , insecurity and inferiority", Personality disorder, characterized
143,143, The behaviors, serious problems, cause
144,144, People with personality disorders, with everyday stresses and problems, dealing
146,146, They, mild or severe, can
148,148, they, others, blame
151,151, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
152,152, The behavioral pattern, with relationships, interferes
153,153, by an enduring pattern of avoidance of social situations and interpersonal contact due to overwhelming feelings of social inadequacy and, A disorder, characterized
162,162, by excessive worried thoughts that may be accompanied by restlessness, An emotional state, characterized
164,164, A person with anxiety, sweat, may
167,167, by pervasive passivereliance on other people, Personality disorder, characterized
170,170, The behaviors, serious problems, cause
171,171, People with personality disorders, with everyday stresses and problems, dealing
173,173, They, mild or severe, can
175,175, they, others, blame
178,178, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
179,179, The behavioral pattern, with relationships, interferes
187,187, The behaviors, serious problems, cause
188,188, People with personality disorders, with everyday stresses and problems, dealing
190,190, They, mild or severe, can
192,192, they, others, blame
195,195, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
196,196, The behavioral pattern, with relationships, interferes
198,198, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
201,201, by the patient, Subjective evidence of disease, perceived
203,203, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
206,206, adult personality and behaviour, to catastrophic or excessive prolongedstress, havedeveloped
210,210, by a conspicuous change in a person 's behavior and thinking, A disorder, characterized
212,212, by the patient, Subjective evidence of disease, perceived
213,213, conditions," your thinking , feeling , mood , and behavior", affect
220,220, You," answer questions about your thinking , feelings , and behaviors", will
221,221, Treatment, on which mental disorder you have and how serious it is, depends
222,222, You and your provider, work on a treatment plan just for you, will
225,225, Some people, social support and education, need
231,231, by behavioral and/or psychological abnormalities, A disorder, characterized
236,236, The behaviors, serious problems, cause
237,237, People with personality disorders, with everyday stresses and problems, dealing
239,239, They, mild or severe, can
241,241, they, others, blame
244,244, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
245,245, The behavioral pattern, with relationships, interferes
247,247, The stress, beso extreme that it is not necessary to consider personalvulnerability in order to explain its profound effect on thepersonality, must
248,248," by a hostile ordistrustful attitude toward the world , social withdrawal , feelings of emptiness or hopelessness , a", The disorder, characterized
250,250, by a conspicuous change in a person 's behavior and thinking, A disorder, characterized
253,253, PTSD, you feel stressed and afraid, makes
254,254, It, your life and the people around you, affects
257,257, Other people, new or more severe signs, develop
264,264, Symptoms, with day - to - day living, interfere
265,265, by an experience of intense fear or horror, An anxiety disorder, precipitated
269,269, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
274,274, This disorder, on and a demandingattitude towards others, ischaracterized
275,275, by a conspicuous change in a person 's behavior and thinking, A disorder, characterized
278,278, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
281,281, mental disorders, abnormal thinking and perceptions, cause
282,282, People with psychoses, touch, lose
287,287, Treatment, on the cause of the psychosis, depends
290,290, a person, the ability to recognize reality or relate to others, loses
291,291, The person, with the demands of everyday life, cope
293,293," by personality change ,", A mental disorder, characterized
294,294, by impaired reality which may include perceptual disturbances, A mental state, characterized
295,295," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
297,297, the individual, an episode of schizophrenia, suffered
300,300," by a feeling of general discomfort or uneasiness , an out - of - sorts", A disorder, characterized
303,303, conditions," your thinking , feeling , mood , and behavior", affect
310,310, You," answer questions about your thinking , feelings , and behaviors", will
311,311, Treatment, on which mental disorder you have and how serious it is, depends
312,312, You and your provider, work on a treatment plan just for you, will
315,315, Some people, social support and education, need
321,321, by behavioral and/or psychological abnormalities, A disorder, characterized
325,325, The psychological or physiological, a substance, take
327,327, The behaviors, serious problems, cause
328,328, People with personality disorders, with everyday stresses and problems, dealing
330,330, They, mild or severe, can
332,332, they, others, blame
335,335, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
336,336, The behavioral pattern, with relationships, interferes
346,346, Many people, gambling, enjoy
350,350, by a preoccupation with gambling and the excitement, National Institutes of HealthA disorder, characterized
351,351, Pathological gamblers, on their gambling, cut
353,353, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
359,359, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
363,363, by a fascination with fire and recurrent episodes of fire setting during which the individual experiences a rising subjective sense of tension before the fire setting and a sense of gratification or relief when setting the fire, A disorder, characterized
364,364, by redness or physical signs of irritation, A sensation of stinging or heat, accompanied
367,367," by anincreasing sense of tension before ,", This behaviour, accompanied
368,368, by the recurrent failure, A disorder, characterized
370,370, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
373,373, by noticeable hair - loss, A disorder, characterized
377,377, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
380,380, You, up to 100 hairs, lose
382,382, many men -- and some women --, hair, lose
384,384, you, certain medicines, take
385,385, Treatment for hair loss, on the cause, depends
388,388, by a decrease in density of hair, A disorder, characterized
396,396, by a false sensory perception, A disorder, characterized
397,397, by the individual, an appropriate stimulus, regarded
407,407, Thediagnosis, a profound disturbance of the normal genderidentity, requires
408,408, Gender identity disorders inindividuals, puberty, reached
410,410, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
414,414, hypersensitivity," to a pharmacologic substance that is characterized by rash , lymphadenopathy , fever , hematologic abnormalities and involvement of one or more internal organs", threatening
415,415," by a strong and persistent cross - gender identification ( such as stating a desire to be the other sex or frequently passing as the other sex ) coupled with persistent discomfort with his or her sex ( manifested in adults , for example , as a preoccupation with altering primary and secondary sex characteristics through hormonal manipulation or surgery )", A disorder, characterized
416,416," by some particulartexture such as rubber , plastic or leather", Other common examples, characterized
417,417, theysimply, to enhance sexual excitement achieved in ordinaryways ( e, serve
420,420," by recurrent sexual urges , fantasies , or behaviors involving the use of nonliving objects such as women 's wearing apparel (", A disorder, characterized
424,424, A, the genitalia, expose
426,426," by recurrent sexual urges , fantasies , or behaviors involving the exposure of one 's genitals to an unsuspecting", A disorder, characterized
431,431," by recurrent sexual urges , fantasies , or behaviors involving observing an unsuspecting person who is naked , disrobing , or engaging in sexual", A disorder, characterized
434,434," by recurrent sexual urges , fantasies , or behaviors involving sexual activity with a prepubescent child or children", A disorder, characterized
436,436, the subject, the recipient of such stimulation, tobe
447,447, you, pain, felt
453,453, Treatment, on the cause and type of pain, depends
462,462," by recurrent sexual urges , fantasies , or behaviors involving the use of nonliving objects such as women 's wearing apparel (", A disorder, characterized
467,467, The patient," from uncertainty about his or her genderidentity or sexual orientation , which causes anxiety ordepression", suffers
470,470," dread accompanied by restlessness , tension , tachycardia , and dyspnea unattached", A disorder, characterized
471,471, by anxious feelings or fear often accompanied by physical symptoms associated with anxiety, psychiatric disorders, characterized
480,480, by excessive worried thoughts that may be accompanied by restlessness, An emotional state, characterized
482,482, A person with anxiety, sweat, may
485,485, theindividual, seektreatment, may
489,489, Physical, physical disorder, aconfirmed
490,490, by this pain, The patient, distressed
497,497, you, pain, felt
503,503, Treatment, on the cause and type of pain, depends
511,511, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
514,514, The patient, symptoms, feigns
518,518, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
521,521, by the patient, Subjective evidence of disease, perceived
523,523, The behaviors, serious problems, cause
524,524, People with personality disorders, with everyday stresses and problems, dealing
526,526, They, mild or severe, can
528,528, they, others, blame
531,531, by behavior that deviates markedly from the expectations of the individual 's culture, A diverse category of psychiatric disorders, characterized
532,532, The behavioral pattern, with relationships, interferes
533,533, by the patient, Subjective evidence of disease, perceived
0,0, from the early stages of development, normal patterns of language acquisition, disturbed
6,6," by an impairment in the development of an individual 's language capabilities , which is in contrast to his / her non - verbal intellect", A category of disorders, characterized
8,8, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
18,18, expressive, A general term, receptive
31,31, by damage to the parts of the brain that control language, a disorder, caused
33,33, adults, a stroke, had
36,36, you, what you want to say, know
37,37, Most, language therapy, need
38,38, by an impaired ability to comprehend or express language in its written or spoken form, National Institute of Neurological Disorders and StrokeA cognitive disorder, marked
39,39, by diseases which affect the language areas of the dominant hemisphere, This condition, caused
45,45, A term, to disorders characterized by the disruption of normal speech, referring
47,47, by the inability to perform previously learned skills that can not be attributed, A group of cognitive disorders, characterized
48,48, (, APRAXIA, see
51,51, by an impairment in the development of an individual 's expressive, pervasive developmental disorders A disorder, characterized
57,57, It," how a person acts and interacts with others , communicates", affects
68,68, Research, that both genes and environment play important roles, suggests
74,74, Neurodevelopmental disorders," with classic symptoms of impairment in verbal and nonverbal communication , social interactions , and/or imaginative play", presenting
83,83, by the onset of isolated language dysfunction in otherwise normal children ( age of onset 4 - 7 years ) and epileptiform discharges on ELECTROENCEPHALOGRAPHY, childhood A syndrome, characterized
87,87, by the progressive or sudden inability, A rare childhood syndrome, characterized
88,88, Patients, epileptic seizures and behavioral changes, develop
89,89, by damage to the parts of the brain that control language, a disorder, caused
91,91, adults, a stroke, had
94,94, you, what you want to say, know
95,95, Most, language therapy, need
96,96, by an impaired ability to comprehend or express language in its written or spoken form, National Institute of Neurological Disorders and StrokeA cognitive disorder, marked
97,97, by diseases which affect the language areas of the dominant hemisphere, This condition, caused
102,102, by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest, It, marked
104,104, by marked impairments, ( DSM - V)A disorder, characterized
105,105, A neurodevelopmental disorder," difficulty in social interactions , stereotypic behaviors , and a limited range of interests and activities", presenting
110,110, by deficiencies of comprehension or expression of written and spoken forms of language, Language disorder NOSConditions, characterized
112,112," by an impairment in the development of an individual 's language capabilities , which is in contrast to his / her non - verbal intellect", A category of disorders, characterized
113,113, from the early stages of development, the normal patterns of skill acquisition, disturbed
118,118, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
127,127, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
132,132, by an impaired, 8)A cognitive disorder, characterized
134,134," by reading achievement that falls substantially below that expected given the individual 's chronological age , measured intelligence , and age - appropriate education", Developmental dyslexia, marked
141,141, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
144,144, by an impaired ability, disorder spelling disorder A cognitive disorder, characterized
146,146," by reading achievement that falls substantially below that expected given the individual 's chronological age , measured intelligence , and age - appropriate education", Developmental dyslexia, marked
152,152, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
156,156, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
171,171, by a conspicuous change in cognitive function, A disorder, characterized
177,177, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
191,191, It," how a person acts and interacts with others , communicates", affects
202,202, Research, that both genes and environment play important roles, suggests
208,208, Neurodevelopmental disorders," with classic symptoms of impairment in verbal and nonverbal communication , social interactions , and/or imaginative play", presenting
210,210, by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest, It, marked
212,212, by marked impairments, ( DSM - V)A disorder, characterized
213,213, A neurodevelopmental disorder," difficulty in social interactions , stereotypic behaviors , and a limited range of interests and activities", presenting
227,227, an internal electrical system, the rhythm of the heartbeat, controls
231,231, the heart, to beat, continues
236,236, Defibrillation, an electric shock, sends
237,237, You, give cardiopulmonary resuscitation ( CPR ) to a person having SCA until defibrillation can be done, should
238,238, you, an SCA, had
245,245, a rare genetic disease, developmental and nervous system problems, causes
248,248, they, developing, stop
253,253, National Institute of Child Health and Human DevelopmentAn, neurological developmental disorder, inherited
255,255, by mutations in the MECP2 gene on chromosome X, p199)A progressive neurologic disorder, caused
256,256, It, girls, affects
260,260, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
263,263, by the inability to perform previously learned skills that can not be attributed, A group of cognitive disorders, characterized
264,264, (, APRAXIA, see
270,270, a rare genetic disease, developmental and nervous system problems, causes
273,273, they, developing, stop
278,278, National Institute of Child Health and Human DevelopmentAn, neurological developmental disorder, inherited
280,280, by mutations in the MECP2 gene on chromosome X, p199)A progressive neurologic disorder, caused
281,281, It, girls, affects
293,293, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
310,310, language or cognitive development, Asperger Syndrome, differentiates
314,314, It," how a person acts and interacts with others , communicates", affects
325,325, Research, that both genes and environment play important roles, suggests
331,331, Neurodevelopmental disorders," with classic symptoms of impairment in verbal and nonverbal communication , social interactions , and/or imaginative play", presenting
342,342, Treatments," physical , speech , and occupational therapy", include
2,2, they, sense, make
3,3, The disorder, it hard for them to keep a job or take care of themselves, makes
6,6, Psychotic symptoms, a person 's thinking, distort
8,8," "" Negative "" symptoms", it difficult to show emotions and to function normally, make
10,10, Cognitive symptoms, the thought process, affect
12,12, what, schizophrenia, causes
19,19, by abnormalities in the perception or expression of reality, National Institute of Mental HealthA major psychotic disorder, characterized
20,20, It, the cognitive and psychomotor functions, affects
22,22, a person, the difference between real and unreal experiences, telling
24,24," by a retreat from reality with delusion formation , HALLUCINATIONS , emotional disharmony , and regressive behavior", A severe emotional disorder of psychotic depth, marked
26,26, Nearly everyone, some of these behaviors at times, shows
27,27, It, 3 - 5 percent of all American children, affects
35,35, by a marked pattern of inattention and/or, A disorder, characterized
41,41, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
45,45, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
49,49, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
53,53, Nearly everyone, some of these behaviors at times, shows
54,54, It, 3 - 5 percent of all American children, affects
62,62, by a marked pattern of inattention and/or, A disorder, characterized
68,68, Nearly everyone, some of these behaviors at times, shows
69,69, It, 3 - 5 percent of all American children, affects
77,77, by a marked pattern of inattention and/or, A disorder, characterized
83,83, Nearly everyone, some of these behaviors at times, shows
84,84, It, 3 - 5 percent of all American children, affects
92,92, by a marked pattern of inattention and/or, A disorder, characterized
101,101, The disorder, that the overall criteria for F91, requires
104,104, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
112,112, The disorder, that the overall criteria for F91, requires
116,116, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
119,119," by a persistent pattern of defiant , disobedient , and hostile behavior towards authority figures", A behavior disorder, characterized
124,124, The disorder, that the overall criteria for F91, requires
128,128, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
141,141," dread accompanied by restlessness , tension , tachycardia , and dyspnea unattached", A disorder, characterized
142,142, by anxious feelings or fear often accompanied by physical symptoms associated with anxiety, psychiatric disorders, characterized
154,154, by excessive worried thoughts that may be accompanied by restlessness, An emotional state, characterized
156,156, A person with anxiety, sweat, may
160,160, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
163,163, Most people, sad or irritable, feel
165,165, It, a person 's everyday emotional state, affects
173,173, by either a dysphoric mood or loss of interest or pleasure in usual activities, -An affective disorder, manifested
180,180, the symptoms, to the individual, distressing
192,192, the symptoms, to the individual, distressing
198,198," by restlessness , fatigue , inability to concentrate , irritability , muscle tension , and/or sleep disturbance and lasts for at least 6 months", The worry, accompanied
199,199," by excessive worry and feelings of fear , dread , and uneasiness that last six months or longer", A condition, marked
203,203, serious environmental distortions or privations, a crucial role, play
205,205, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
208,208, Food, the energy and nutrients you need to be healthy, provides
214,214, your doctor, the cause of the problem, diagnose
217,217," by not getting enough calories or the right amount of key nutrients , such as vitamins and minerals", A condition, caused
224,224, It," how a person acts and interacts with others , communicates", affects
235,235, Research, that both genes and environment play important roles, suggests
241,241, Neurodevelopmental disorders," with classic symptoms of impairment in verbal and nonverbal communication , social interactions , and/or imaginative play", presenting
243,243, by an individual, young children Anxiety, experienced
244,244, by recurrent excessive distress due to fear of separation from the home or from major attachment figures, An anxiety disorder, characterized
